Domain name,Domain type,Agency,Organization name,City,State,Security contact email
bidenlibrary.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
bidenwhitehouse.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Adminstration,College Park,MD,security-vdp@nara.gov
bush41library.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
clintonlibrary.gov,Federal - Executive,National Archives and Records Administration,William Clinton Presidential Library,Little Rock,AR,security-vdp@nara.gov
d250.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
dd214.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
declaration250.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
eisenhowerlibrary.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
emergency-federal-register.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
fcic.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
fordlibrarymuseum.gov,Federal - Executive,National Archives and Records Administration,Gerald R. Ford Library and Museum,College Park,MD,security-vdp@nara.gov
frc.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
georgewbushlibrary.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
history.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
jfklibrary.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
jimmycarterlibrary.gov,Federal - Executive,National Archives and Records Administration,Jimmy Carter Library & Museum,College Park,MD,security-vdp@nara.gov
lbjlibrary.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
nara.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
nixonlibrary.gov,Federal - Executive,National Archives and Records Administration,NPOL,College Park,MD,security-vdp@nara.gov
obamalibrary.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
obamawhitehouse.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
ourdocuments.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
reaganlibrary.gov,Federal - Executive,National Archives and Records Administration,Policy and Planning,College Park,MD,security-vdp@nara.gov
recordsmanagement.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
trumanlibrary.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
trumplibrary.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
trumpwhitehouse.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
wartimecontracting.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
webharvest.gov,Federal - Executive,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,security-vdp@nara.gov
ncpc.gov,Federal - Executive,National Capital Planning Commission,National Capital Planning Commission,Washington,DC,csirt@ncpc.gov
ncd.gov,Federal - Executive,National Council on Disability,National Council on Disability,Washington,DC,kwoods@ncd.gov
mycreditunion.gov,Federal - Executive,National Credit Union Administration,National Credit Union Administration,Alexandria,VA,SOC@ncua.gov
ncua.gov,Federal - Executive,National Credit Union Administration,National Credit Union Administration,Alexandria,VA,SOC@ncua.gov
arts.gov,Federal - Executive,National Endowment for the Arts,Office of Information and Technology Management,Washington,DC,security@arts.gov
nea.gov,Federal - Executive,National Endowment for the Arts,Office of Information and Technology Management,Washington,DC,security@arts.gov
humanities.gov,Federal - Executive,National Endowment for the Humanities,Office of Information Resources Management,Washington,DC,dotgov@neh.gov
neh.gov,Federal - Executive,National Endowment for the Humanities,Office of Information Resources Management,Washington,DC,dotgov@neh.gov
nga.gov,Federal - Executive,National Gallery of Art,National Gallery of Art,Washington,DC,soc@NGA.GOV
nigc.gov,Federal - Executive,National Indian Gaming Commission,National Indian Gaming Commision,Washington,DC,itsupport@nigc.gov
nlrb.gov,Federal - Executive,National Labor Relations Board,National Labor Relations Board,Washington,DC,vdp@nlrb.gov
nmb.gov,Federal - Executive,National Mediation Board,National Mediation Board,Washington,DC,soc@nmb.gov
arctic.gov,Federal - Executive,National Science Foundation,U.S. Arctic Research Commission,Arlington,VA,dallas@sec-data-eng.com
nsf.gov,Federal - Executive,National Science Foundation,National Science Foundation,Alexandria,VA,dis-secteam@nsf.gov
research.gov,Federal - Executive,National Science Foundation,National Science Foundation,Alexandria,VA,dis-secteam@nsf.gov
sac.gov,Federal - Executive,National Science Foundation,Small Agency Council,Alexandria,VA,dis-secteam@nsf.gov
usap.gov,Federal - Executive,National Science Foundation,"National Science Foundation, Office of Polar Programs",Alexandria,VA,NSF-USAP-InfoSec@nsf.gov
nscai.gov,Federal - Executive,National Security Commission on Artificial Intelligence,National Security Commission on Artificial Intelligence,Arlington,VA,michael.l.gable.civ@mail.mil
ntsb.gov,Federal - Executive,National Transportation Safety Board,National Transportation Safety Board,Washington,DC,soc@ntsb.gov
itrd.gov,Federal - Executive,Networking Information Technology Research and Development,National Coordination Office for Networking and Information Technology Research and Development,Washington,DC,security@nitrd.gov
nitrd.gov,Federal - Executive,Networking Information Technology Research and Development,National Coordination Office for Networking and Information Technology Research and Development,Washington,DC,security@nitrd.gov
nbrc.gov,Federal - Executive,Northern Border Regional Commission,Northern Border Regional Commission,Concord,NH,jorourke@nbrc.gov
nrc-gateway.gov,Federal - Executive,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Rockville,MD,SOC_Alerts@nrc.gov
nrc.gov,Federal - Executive,Nuclear Regulatory Commission,Nuclear Regulatory Commission,Rockville,MD,soc_alerts@nrc.gov
oshrc.gov,Federal - Executive,Occupational Safety and Health Review Commission,Occupational Safety & Health Review Commission,Washington,DC,support@oshrc.gov
integrity.gov,Federal - Executive,Office of Government Ethics,Office of Government Ethics,Washington,DC,security@oge.gov
oge.gov,Federal - Executive,Office of Government Ethics,Office of Government Ethics,Washington,DC,security@oge.gov
onhir.gov,Federal - Executive,Office of Navajo and Hopi Indian Relocation,Office of Navajo and Hopi Indian Relocation,Flagstaff,AZ,support@flagstaffit.com
applicationmanager.gov,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,cybersolutions@opm.gov
benefeds.gov,Federal - Executive,Office of Personnel Management,OCIO,Washington,DC,(blank)
chcoc.gov,Federal - Executive,Office of Personnel Management,Chief Human Capital Officers,Washington,DC,dana.dulaney@opm.gov
cybercareers.gov,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Washington,DC,dana.dulaney@opm.gov
employeeexpress.gov,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,dana.dulaney@opm.gov
e-qip.gov,Federal - Executive,Office of Personnel Management,Defense Counterintelligence and Security Agency,Washington,DC,kevin.crews@opm.gov
feb.gov,Federal - Executive,Office of Personnel Management,Federal Executive Board,Washington,DC,dana.dulaney@opm.gov
federaljobs.gov,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,dana.dulaney@opm.gov
fedjobs.gov,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,dana.dulaney@opm.gov
fedshirevets.gov,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Washington,DC,dana.dulaney@opm.gov
fegli.gov,Federal - Executive,Office of Personnel Management,OPM Federal Employees Benefits,Washington,DC,dana.dulaney@opm.gov
fsafeds.gov,Federal - Executive,Office of Personnel Management,OPM Federal Employees Benefits,Washington,DC,dana.dulaney@opm.gov
givecfc.gov,Federal - Executive,Office of Personnel Management,OCIO,Washington,DC,(blank)
golearn.gov,Federal - Executive,Office of Personnel Management,OPM Center for Leadership Development,Washington,DC,dana.dulaney@opm.gov
governmentjobs.gov,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,dana.dulaney@opm.gov
ltcfeds.gov,Federal - Executive,Office of Personnel Management,OCIO,Washington,DC,(blank)
opm.gov,Federal - Executive,Office of Personnel Management,Office Of Personnel Management,Macon,GA,dana.dulaney@opm.gov
pac.gov,Federal - Executive,Office of Personnel Management,Performance Accountability Council,Washington,DC,kevin.crews@opm.gov
pmf.gov,Federal - Executive,Office of Personnel Management,Presidential Management Fellows,Washington,DC,dana.dulaney@opm.gov
telework.gov,Federal - Executive,Office of Personnel Management,"OPM Policy, Data, Oversight",Washington,DC,dana.dulaney@opm.gov
unlocktalent.gov,Federal - Executive,Office of Personnel Management,OPM Enterprise Human Resources Integration,Washington,DC,Dana.Dulaney@OPM.GOV
usajobs.gov,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Washington,DC,dana.dulaney@opm.gov
usalearning.gov,Federal - Executive,Office of Personnel Management,OPM Center for Leadership Development,Washington,DC,dana.dulaney@opm.gov
usastaffing.gov,Federal - Executive,Office of Personnel Management,OPM Human Resource Solutions,Macon,GA,cybersolutions@opm.gov
peacecorps.gov,Federal - Executive,Peace Corps,Peace Corps,Washington,DC,SOC2@peacecorps.gov
peacecorpsoig.gov,Federal - Executive,Peace Corps,Office of Inspector General,Washington,DC,SOC2@PeaceCorps.Gov
pbgc.gov,Federal - Executive,Pension Benefit Guaranty Corporation,Office of Information Technology,Washington,DC,INFO-USCERT@pbgc.gov
prc.gov,Federal - Executive,Postal Regulatory Commission,Postal Regulatory Commission,Washington,DC,itsecure@prc.gov
presidiocommercial.gov,Federal - Executive,Presidio Trust,Presidio Trust,San Francisco,CA,securitycontact@presidiotrust.gov
presidio.gov,Federal - Executive,Presidio Trust,Presidio Trust,San Francisco,CA,securitycontact@presidiotrust.gov
presidiotrust.gov,Federal - Executive,Presidio Trust,Presidio Trust,San Francisco,CA,securitycontact@presidiotrust.gov
presidiotunneltops.gov,Federal - Executive,Presidio Trust,Presidio Trust,San Francisco,CA,securitycontact@presidiotrust.gov
pclob.gov,Federal - Executive,Privacy and Civil Liberties Oversight Board,Privacy & Civil Liberties Oversight Board,Washington,DC,soc@pclob.gov
pbrb.gov,Federal - Executive,Public Buildings Reform Board,General Services Administration,Washington,DC,gsa-ir@gsa.gov
rrb.gov,Federal - Executive,Railroad Retirement Board,Bureau of Information Services,Chicago,IL,security@rrb.gov
investor.gov,Federal - Executive,Securities and Exchange Commission,Network Operations Branch,Washington,DC,security@sec.gov
sec.gov,Federal - Executive,Securities and Exchange Commission,Network Operations Branch,Washington,DC,security@sec.gov
sss.gov,Federal - Executive,Selective Service System,Selective Service System,Arlington,VA,soc@sss.gov
business.gov,Federal - Executive,Small Business Administration,Small Business Administration,Washington,DC,CISO@sba.gov
nwbc.gov,Federal - Executive,Small Business Administration,Small Business Administration,Washington,DC,CISO@sba.gov
sba.gov,Federal - Executive,Small Business Administration,Small Business Administration,Washington,DC,CISO@sba.gov
sbir.gov,Federal - Executive,Small Business Administration,SBA-Office of Innovation & Technology,Washington,DC,CISO@sba.gov
itis.gov,Federal - Executive,Smithsonian Institution,Smithsonian Institution,Washington,DC,abuse@si.edu
smithsonian.gov,Federal - Executive,Smithsonian Institution,Smithsonian Institution Office of the CIO (OCIO),Herndon,VA,abuse@si.edu
segurosocial.gov,Federal - Executive,Social Security Administration,SSA/OSOHE/Division of Network Engineering ,Baltimore,MD,joe.cunningham@ssa.gov
socialsecurity.gov,Federal - Executive,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Baltimore,MD,joe.cunningham@ssa.gov
ssa.gov,Federal - Executive,Social Security Administration,SSA/OSOHE/Division of Network Engineering,Baltimore,MD,joe.cunningham@ssa.gov
ssab.gov,Federal - Executive,Social Security Advisory Board,Social Security Advisory Board,Washington,DC,admin@ssab.gov
scrc.gov,Federal - Executive,Southeast Crescent Regional Commission,Southeast Crescent Regional Commission,Washington,DC,philmcneil@1brightstar.com
sbrc.gov,Federal - Executive,Southwest Border Regional Commission,"GSA, FAS",Washington,DC,gsa-vulnerability-reports@gsa.gov
sji.gov,Federal - Executive,State Justice Institute,State Justice Institute,Fairfax,VA,(blank)
stb.gov,Federal - Executive,Surface Transportation Board,Surface Transportation Board,Washington,DC,ITSecurity.Staff@stb.gov
tva.gov,Federal - Executive,Tennessee Valley Authority,TVA IT,Knoxville,TN,vdp@tva.gov
tvaoig.gov,Federal - Executive,Tennessee Valley Authority,Tennessee Valley Authority Office of Inspector General,Knoxville,TN,kdkeen@tvaoig.gov
ptf.gov,Federal - Executive,The Intelligence Community,Prosecution Task Force,Washington,DC,(blank)
worldwar1centennial.gov,Federal - Executive,The United States World War One Centennial Commission,The United States World War One Centennial Commission,Washington,DC,chris.christopher@worldwar1centennial.gov
childreninadversity.gov,Federal - Executive,U.S. Agency for International Development,USAID/GH.CECA,Washington,DC,VDP@usaid.gov
dfafacts.gov,Federal - Executive,U.S. Agency for International Development,Office of the Director of U.S. Foreign Assistance,Washington,DC,VDP@usaid.gov
feedthefuture.gov,Federal - Executive,U.S. Agency for International Development,Bureau for Resilience and Food Security (RFS),Washington,DC,VDP@USAID.GOV
foreignassistance.gov,Federal - Executive,U.S. Agency for International Development,Foreign Assistance Office (F/PPS),Washington,DC,VDP@usaid.gov
neglecteddiseases.gov,Federal - Executive,U.S. Agency for International Development,Bureau for Global Health,Washington,DC,VDP@USAID.GOV
pmi.gov,Federal - Executive,U.S. Agency for International Development,Bureau for Global Health,Washington,DC,VDP@USAID.GOV
prosperafrica.gov,Federal - Executive,U.S. Agency for International Development,U.S. Agency for International Development,Washington,DC,vdp@usaid.gov
usaid.gov,Federal - Executive,U.S. Agency for International Development,M/CIO,Washington,DC,VDP@USAID.GOV
workwithusaid.gov,Federal - Executive,U.S. Agency for International Development,U.S. Agency for International Development,Washington,DC,vdp@usaid.gov
csb.gov,Federal - Executive,U.S. Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,andrew.staddon@csb.gov
safetyvideos.gov,Federal - Executive,U.S. Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,andrew.staddon@csb.gov
heritageabroad.gov,Federal - Executive,U.S. Commission for the Preservation of Americas Heritage Abroad,USCPAHA,Washington,DC,ari@thetechmensch.com
cfa.gov,Federal - Executive,U.S. Commission of Fine Arts,U.S. Commission of Fine Arts,Washington,DC,gsa-vulnerability-reports@gsa.gov
civilrightsusa.gov,Federal - Executive,U.S. Commission on Civil Rights,ASCD-CIO,Washington,DC,ccrsoc@usccr.gov
cssbmb.gov,Federal - Executive,U.S. Commission on Civil Rights,Commission on the Social Status of Black Men and Black Boys,Washington,DC,ccrsoc@usccr.gov
usccr.gov,Federal - Executive,U.S. Commission on Civil Rights,ASCD-CIO,Washington,DC,ccrsoc@usccr.gov
22007apply.gov,Federal - Executive,U.S. Department of Agriculture,U.S. Department of Agriculture,Washington,DC,james.flickinger@usda.gov
aff.gov,Federal - Executive,U.S. Department of Agriculture,Aviation Management Directorate,Boise,ID,cyber.incident@usda.gov
ag.gov,Federal - Executive,U.S. Department of Agriculture,U.S. Department of Agriculture,Tucson,AZ,cyber.incidents@asoc.usda.gov
ars-grin.gov,Federal - Executive,U.S. Department of Agriculture,Agricultural Research Service ,Beltsville,MD,cyber.incidents@usda.gov
arsusda.gov,Federal - Executive,U.S. Department of Agriculture,Agricultural Research Service,Beltsville,MD,cyber.incidents@usda.gov
biopreferred.gov,Federal - Executive,U.S. Department of Agriculture,Office of Energy Policy and New Uses,Washington,DC,cyber.incidents@usda.gov
bosque.gov,Federal - Executive,U.S. Department of Agriculture,USDA Forest Service - Southwestern Region,Albuquerque,NM,cyber.incident@usda.gov
choosemyplate.gov,Federal - Executive,U.S. Department of Agriculture,USDA - Center for Nutrition Policy and Promotion,Alexandria,VA,joseph.binns@usda.gov
connect.gov,Federal - Executive,U.S. Department of Agriculture,OCIO/DISC,Kansas City,MO,cyber.incidents@usda.gov
dietaryguidelines.gov,Federal - Executive,U.S. Department of Agriculture,USDA - Center for Nutrition Policy and Promotion,Alexandria,VA,joseph.binns@usda.gov
empowhr.gov,Federal - Executive,U.S. Department of Agriculture,National Finance Center,New Orleans,LA,Gerald.smith2@usda.gov
execsec.gov,Federal - Executive,U.S. Department of Agriculture,U.S. Department of Agriculture,Washington,DC,robert.simpsonjr@usda.gov
farmerfairness.gov,Federal - Executive,U.S. Department of Agriculture,USDA - Agriculteral Marketing Service,Washington,DC,cyber.incidents@usda.gov
farmers.gov,Federal - Executive,U.S. Department of Agriculture,"USDA, Office of Communications",Washington,DC,cyber.incidents@usda.gov
fedsfeedfamilies.gov,Federal - Executive,U.S. Department of Agriculture,USDA/OC,Washington,DC,Sullie.Coleman@usda.gov
forestsandrangelands.gov,Federal - Executive,U.S. Department of Agriculture,US Forest Service,Washington,DC,cyber.incident@usda.gov
invasivespeciesinfo.gov,Federal - Executive,U.S. Department of Agriculture,USDA/ARS/NAL,Beltsville,MD,cyber.incidents@usda.gov
itap.gov,Federal - Executive,U.S. Department of Agriculture,"USDA, ARS, NAL",Beltsville,MD,cyber.incidents@usda.gov
lcacommons.gov,Federal - Executive,U.S. Department of Agriculture,National Agricultural Library,Beltsville,MD,cyber.incidents@usda.gov
myplate.gov,Federal - Executive,U.S. Department of Agriculture,USDA - Center for Nutrition Policy and Promotion,Alexandria,VA,joseph.binns@usda.gov
nafri.gov,Federal - Executive,U.S. Department of Agriculture,National Advanced Fire and Resource Institute,Tucson,AZ,cyber.incident@usda.gov
nutrition.gov,Federal - Executive,U.S. Department of Agriculture,Office of Communications,Washington,DC,cyber.incidents@usda.gov
nwcg.gov,Federal - Executive,U.S. Department of Agriculture,National Wildfire Coordinating Group,Boise,ID,cyber.incidents@usda.gov
rec.gov,Federal - Executive,U.S. Department of Agriculture,Recreation One Stop,Washington,DC,security@recreation.gov
recreation.gov,Federal - Executive,U.S. Department of Agriculture,Recreation One Stop,Washington,DC,security@recreation.gov
rural.gov,Federal - Executive,U.S. Department of Agriculture,Rural Development,Washington,DC,cyber.incidents@usda.gov
symbols.gov,Federal - Executive,U.S. Department of Agriculture,US Forest Service,Washington,DC,cyber.incident@usda.gov
usda.gov,Federal - Executive,U.S. Department of Agriculture,U.S. Department of Agriculture,Ft. Collins,CO,cyber.incidents@usda.gov
usdapii.gov,Federal - Executive,U.S. Department of Agriculture,Office of the Chief Information Officer,Washington,DC,cyber.incidents@usda.gov
wildfire.gov,Federal - Executive,U.S. Department of Agriculture,National Wildfire Coordinating Group,Boise,ID,cyber.incident@usda.gov
ich.gov,Federal - Executive,U.S. Interagency Council on Homelessness,United States Interagency Council on Homelessness,Washington,DC,(blank)
usich.gov,Federal - Executive,U.S. Interagency Council on Homelessness,United States Interagency Council on Homelessness,Washington,DC,(blank)
nwtrb.gov,Federal - Executive,U.S. Nuclear Waste Technical Review Board,Nuclear Waste Technical Review Board,Arlington,VA,security@nwtrb.gov
osc.gov,Federal - Executive,U.S. Office of Special Counsel,U.S. Office of Special Counsel,Washington,DC,vhall@osc.gov
oscnet.gov,Federal - Executive,U.S. Office of Special Counsel,U.S. Office of Special Counsel,Washington,DC,vhall@osc.gov
ustda.gov,Federal - Executive,U.S. Trade and Development Agency,US Trade and Development Agency,Arlington,VA,avicchiollo@ustda.gov
abilityone.gov,Federal - Executive,United States AbilityOne Commission,Committee for Purchase From People Who Are Blind or Severely Disabled,Arlington,VA,eyang@abilityone.gov
jwod.gov,Federal - Executive,United States AbilityOne Commission,Committee for Purchase From People Who Are Blind or Severely Disabled,Arlington,VA,eyang@abilityone.gov
access-board.gov,Federal - Executive,United States Access Board,U.S Access Board,Washington,DC,cybersecurity@access-board.gov
adf.gov,Federal - Executive,United States African Development Foundation,African Development Foundation,Washington,DC,schi@usadf.gov
usadf.gov,Federal - Executive,United States African Development Foundation,African Development Foundation,Washington,DC,schi@usadf.gov
bbg.gov,Federal - Executive,United States Agency for Global Media,IBB/VOA/BBG,,,it-security@usagm.gov
ibab.gov,Federal - Executive,United States Agency for Global Media,International Broadcasting Advisory Board,Washington,DC,(blank)
ibb.gov,Federal - Executive,United States Agency for Global Media,Broadcasting Board of Governors,,,it-security@usagm.gov
ocb.gov,Federal - Executive,United States Agency for Global Media,Office of Cuba Broadcasting,Doral,FL,it-security@usagm.gov
usagm.gov,Federal - Executive,United States Agency for Global Media,Broadcasting Board of Governors,,,it-security@usagm.gov
voa.gov,Federal - Executive,United States Agency for Global Media,VOA,,,it-security@usagm.gov
globalchange.gov,Federal - Executive,United States Global Change Research Program,U.S. Global Change Research Program,Washington,DC,(blank)
ipcc-wg3.gov,Federal - Executive,United States Global Change Research Program,U.S. Global Change Research Program,Washington,DC,admin@usgcrp.gov
usgcrp.gov,Federal - Executive,United States Global Change Research Program,U.S. Global Change Research Program,Washington,DC,(blank)
ushmm.gov,Federal - Executive,United States Holocaust Memorial Museum,United States Holocaust Memorial Museum,Washington,DC,mtrofi@ushmm.org
usip.gov,Federal - Executive,United States Institute of Peace,GSA/United States Institute of Peace,Washington,DC,mrich@usip.gov
dfc.gov,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,ciso@dfc.gov
idfc.gov,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,ciso@dfc.gov
opic.gov,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,ciso@dfc.gov
usdfc.gov,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,washington,DC,ciso@dfc.gov
usidfc.gov,Federal - Executive,United States International Development Finance Corporation,US International Development Finance Corporation,Washington,DC,ciso@dfc.gov
usitc.gov,Federal - Executive,United States International Trade Commission,OCIO,Washington,DC,vdp@usitc.gov
usitcoig.gov,Federal - Executive,United States International Trade Commission,USITC Office of Inspector General,Washington,DC,(blank)
changeofaddress.gov,Federal - Executive,United States Postal Service,U.S. Postal Service,Washington,DC,(blank)
mail.gov,Federal - Executive,United States Postal Service,U.S. Postal Service,Raleigh,NC,(blank)
myusps.gov,Federal - Executive,United States Postal Service,U.S. Postal Service,Raleigh,NC,(blank)
postoffice.gov,Federal - Executive,United States Postal Service,U.S. Postal Service,Raleigh,NC,(blank)
purchasing.gov,Federal - Executive,United States Postal Service,U.S. Postal Service,Raleigh,NC,(blank)
uspis.gov,Federal - Executive,United States Postal Service,U.S. Postal Service,Arlington,VA,(blank)
usps.gov,Federal - Executive,United States Postal Service,U.S. Postal Service,Raleigh,NC,(blank)
uspsinformeddelivery.gov,Federal - Executive,United States Postal Service,U.S. Postal Service,Raleigh,NC,(blank)
uspsinnovates.gov,Federal - Executive,United States Postal Service,U.S. Postal Service,Washington,DC,(blank)
uspsoig.gov,Federal - Executive,United States Postal Service,USPS Office of Inspector General,Arlington,VA,IncidentReport@uspsoig.gov
exploretsp.gov,Federal - Executive,Federal Retirement Thrift Investment Board,Office of Technology Services,,,VulnerabilityDisclosure@frtib.gov
frtib.gov,Federal - Executive,Federal Retirement Thrift Investment Board,Office of Technology Services,,,VulnerabilityDisclosure@frtib.gov
frtibtest.gov,Federal - Executive,Federal Retirement Thrift Investment Board,Office of Technology Services,,,VulnerabilityDisclosure@frtib.gov
tsp.gov,Federal - Executive,Federal Retirement Thrift Investment Board,Office of Technology Services,,,VulnerabilityDisclosure@frtib.gov
tsptest.gov,Federal - Executive,Federal Retirement Thrift Investment Board,Office of Technology Services,,,VulnerabilityDisclosure@frtib.gov
scinet.gov,Federal - Judicial,The Supreme Court,Supreme Court of the United States,Washington,DC,(blank)
scinet-test.gov,Federal - Judicial,The Supreme Court,Supreme Court of the United States,Washington,DC,(blank)
sc-us.gov,Federal - Judicial,The Supreme Court,Supreme Court of the United States,Washington,DC,(blank)
scus.gov,Federal - Judicial,The Supreme Court,Supreme Court of the United States,Washington,DC,(blank)
scuspd.gov,Federal - Judicial,The Supreme Court,Supreme Court of the United States,Washington,DC,(blank)
supreme-court.gov,Federal - Judicial,The Supreme Court,Supreme Court of the United States,Washington,DC,(blank)
supremecourt.gov,Federal - Judicial,The Supreme Court,Supreme Court of the United States,Washington,DC,(blank)
supremecourtus.gov,Federal - Judicial,The Supreme Court,Supreme Court of the United States,Washington,DC,(blank)
bankruptcy.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Administrative Office U.S. Courts,Washington,DC,(blank)
cavc.gov,Federal - Judicial,Administrative Office of the U.S. Courts,US Court of Appeals for Veterans Claims,Washington,DC,helpdesk@uscourts.cavc.gov
fd.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Defender Services Office,San Antonio,TX,Pedro_Carrasquillo-Roman@fd.org
federalcourts.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Administrative Office U.S. Courts,Washington,DC,(blank)
federalprobation.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Administrative Office U.S. Courts,Washington,DC,(blank)
federalrules.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Administrative Office U.S. Courts,Washington,DC,(blank)
fjc.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Federal Judicial Center,Washington,DC,(blank)
judicialconference.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Administrative Office U.S. Courts,Washington,DC,(blank)
pacer.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Administrative Office U.S. Courts,Washington,DC,(blank)
usbankruptcy.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Administrative Office U.S. Courts,Washington,DC,(blank)
uscavc.gov,Federal - Judicial,Administrative Office of the U.S. Courts,US Court of Appeals for Veterans Claims,Washington,DC,helpdesk@uscourts.cavc.gov
usc.gov,Federal - Judicial,Administrative Office of the U.S. Courts,U.S. Courts,Washington,DC,(blank)
uscourts.gov,Federal - Judicial,Administrative Office of the U.S. Courts,U.S. Courts,Washington,DC,security@uscourts.gov
usprobation.gov,Federal - Judicial,Administrative Office of the U.S. Courts,Administrative Office U.S. Courts,Washington,DC,(blank)
ussc.gov,Federal - Judicial,Administrative Office of the U.S. Courts,United States Sentencing Commission,"Washington, D",DC,tss@ussc.gov
ustaxcourt.gov,Federal - Judicial,Administrative Office of the U.S. Courts,United States Tax Court,Washington,DC,Domain.Security@ustaxcourt.gov
aoc.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
capitalgiftshop.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
capital.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
capitolgiftshop.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
capitol.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
usbg.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
uscapitalgiftshop.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
uscapital.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
uscapitolgiftshop.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,Washington,DC,DOMSEC@aoc.gov
